BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,LUTN
Z10, 6, 213, 1.344, 0, 0, 170, 38, 6, 15, 22, 55, 9696
Z10, 8, 241, 1.521, 0, 0, 174, 40, 6, 15, 24, 60, 10595
Z10, 16, 353, 2.228, 0, 0, 212, 43, 6, 15, 31, 79, 14042
Z10, 32, 577, 3.642, 0, 0, 303, 52, 6, 15, 45, 120, 21227
GENESYS, 6, 166, 0.675, 0, 0, 155, 29, 1, 5, 4, 10, 7091
GENESYS, 8, 186, 0.757, 0, 0, 164, 31, 1, 5, 4, 11, 7974
GENESYS, 16, 266, 1.082, 0, 0, 197, 34, 1, 5, 6, 15, 11282
GENESYS, 32, 426, 1.733, 0, 0, 288, 43, 1, 5, 9, 25, 18158
GENESYS, 48, 586, 2.384, 0, 0, 396, 51, 1, 5, 13, 35, 24919
