BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 50, 435, 3.540, 0, 0, 248, 64, 1, 10, 5, 33, 2, 8, 2083, 5881
Z10, 100, 835, 6.950, 0, 0, 313, 70, 1, 10, 7, 43, 2, 8, 2484, 7701
Z10, 200, 1635, 14.491, 0, 0, 668, 83, 1, 10, 9, 59, 2, 8, 3285, 10430
Z10, 350, 2835, 24.709, 0, 0, 2329, 109, 1, 10, 12, 79, 2, 8, 4486, 13988
Z10, 500, 4035, 34.458, 0, 0, 5667, 139, 1, 10, 16, 100, 2, 8, 5686, 17662
Z20, 50, 435, 3.540, 0, 0, 253, 65, 0, 3, 1, 11, 2, 8, 2083, 5881
Z20, 100, 835, 6.950, 0, 0, 319, 72, 0, 3, 2, 14, 2, 8, 2484, 7701
Z20, 200, 1635, 14.491, 0, 0, 706, 85, 0, 3, 3, 19, 2, 8, 3285, 10430
Z20, 350, 2835, 24.709, 0, 0, 2466, 111, 0, 3, 4, 26, 2, 8, 4486, 13988
Z20, 500, 4035, 34.458, 0, 0, 6268, 140, 0, 3, 5, 33, 2, 8, 5686, 17662
GENESYS, 50, 317, 2.580, 0, 0, 259, 54, 0, 2, 1, 6, 2, 8, 1814, 4722
GENESYS, 100, 617, 5.021, 0, 0, 324, 60, 0, 2, 1, 10, 2, 8, 2115, 7076
GENESYS, 200, 1217, 9.904, 0, 0, 707, 73, 0, 2, 1, 13, 2, 8, 2716, 9784
GENESYS, 350, 2117, 17.228, 0, 0, 2462, 96, 0, 2, 2, 19, 2, 8, 3617, 14029
GENESYS, 500, 3017, 24.552, 0, 0, 6136, 119, 0, 2, 3, 25, 2, 8, 4517, 18017
