BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 30, 160, 1.302, 0, 0, 362, 58, 0, 191, 50, 150, 0, 153, 17797, 26552
Z10, 60, 151, 1.229, 0, 0, 465, 66, 1, 378, 97, 293, 2, 303, 34277, 51672
Z10, 90, 168, 1.367, 0, 0, 583, 73, 1, 566, 143, 429, 2, 453, 50473, 75658
Z10, 120, 187, 1.522, 0, 0, 856, 80, 1, 753, 191, 574, 2, 603, 67310, 101161
Z10, 130, 196, 1.595, 0, 0, 969, 82, 1, 816, 207, 617, 2, 653, 72926, 108691
Z10, 150, 206, 1.676, 0, 0, 1273, 87, 1, 941, 237, 711, 2, 753, 83636, 125302
Z10, 175, 218, 1.774, 0, 0, 1656, 93, 1, 1097, 275, 825, 2, 878, 97023, 145292
Z20, 30, 160, 1.302, 0, 0, 384, 57, 0, 69, 16, 49, 0, 153, 17797, 26552
Z20, 60, 151, 1.229, 0, 0, 469, 65, 0, 137, 32, 97, 2, 303, 34277, 51672
Z20, 90, 168, 1.367, 0, 0, 584, 72, 0, 205, 47, 142, 2, 453, 50473, 75658
Z20, 120, 187, 1.522, 0, 0, 852, 80, 0, 274, 63, 190, 2, 603, 67310, 101161
Z20, 130, 196, 1.595, 0, 0, 955, 83, 0, 296, 68, 204, 2, 653, 72926, 108691
Z20, 150, 206, 1.676, 0, 0, 1250, 88, 0, 342, 78, 235, 2, 753, 83636, 125302
Z20, 175, 218, 1.774, 0, 0, 1656, 94, 0, 399, 91, 273, 2, 878, 97023, 145292
GENESYS, 30, 133, 1.082, 0, 0, 377, 48, 0, 42, 11, 20, 0, 153, 15621, 14497
GENESYS, 60, 123, 1.001, 0, 0, 467, 56, 0, 84, 21, 39, 2, 303, 30330, 27637
GENESYS, 90, 140, 1.139, 0, 0, 594, 62, 0, 125, 31, 56, 2, 453, 44756, 39820
GENESYS, 120, 157, 1.278, 0, 0, 861, 69, 0, 167, 42, 75, 2, 603, 59821, 53382
GENESYS, 130, 166, 1.351, 0, 0, 946, 71, 0, 181, 45, 80, 2, 653, 64847, 56929
GENESYS, 150, 176, 1.432, 0, 0, 1257, 76, 0, 209, 52, 93, 2, 753, 74377, 65695
GENESYS, 175, 188, 1.530, 0, 0, 1659, 83, 0, 243, 61, 107, 2, 878, 86289, 75725
GENESYS, 200, 201, 1.636, 0, 0, 2602, 89, 0, 278, 69, 123, 2, 1003, 98458, 86841
GENESYS, 250, 229, 1.864, 0, 0, 5294, 103, 0, 348, 87, 155, 2, 1253, 123886, 109786
GENESYS, 350, 282, 2.295, 0, 0, 20272, 134, 0, 486, 121, 212, 2, 1753, 171732, 149853
GENESYS, 500, 357, 2.905, 0, 0, 111984, 184, 0, 695, 174, 309, 2, 2503, 246919, 218033
