BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 2, 225, 1.831, 4, 2, 233, 58, 0, 10, 9, 35, 0, 8, 3353, 6189
Z10, 4, 439, 3.573, 8, 4, 236, 61, 0, 10, 11, 43, 0, 8, 3965, 7710
Z10, 8, 789, 6.421, 16, 8, 235, 65, 0, 10, 15, 52, 0, 8, 5369, 9308
Z10, 16, 1477, 12.020, 32, 16, 244, 76, 0, 10, 22, 62, 0, 8, 7869, 10987
Z10, 32, 2845, 23.153, 64, 32, 274, 105, 0, 12, 37, 85, 0, 10, 13140, 15047
Z10, 48, 4212, 34.364, 96, 48, 297, 151, 0, 12, 51, 106, 0, 10, 18058, 18660
Z10, 64, 5572, 45.345, 128, 64, 320, 227, 0, 15, 66, 130, 0, 12, 23300, 22886
Z20, 2, 225, 1.831, 4, 2, 223, 61, 0, 3, 3, 11, 0, 8, 3353, 6189
Z20, 4, 439, 3.573, 8, 4, 226, 63, 0, 3, 3, 14, 0, 8, 3965, 7710
Z20, 8, 789, 6.421, 16, 8, 235, 67, 0, 3, 5, 17, 0, 8, 5369, 9308
Z20, 16, 1477, 12.020, 32, 16, 243, 75, 0, 3, 7, 20, 0, 8, 7869, 10987
Z20, 32, 2845, 23.153, 64, 32, 260, 98, 0, 4, 12, 28, 0, 10, 13140, 15047
Z20, 48, 4212, 34.364, 96, 48, 331, 155, 0, 4, 16, 35, 0, 10, 18058, 18660
Z20, 64, 5572, 45.345, 128, 64, 300, 228, 0, 5, 21, 43, 0, 12, 23300, 22886
GENESYS, 2, 194, 1.579, 4, 2, 233, 52, 0, 2, 2, 7, 0, 8, 3057, 5420
GENESYS, 4, 402, 3.271, 8, 4, 226, 54, 0, 2, 2, 9, 0, 8, 3663, 6922
GENESYS, 8, 743, 6.047, 16, 8, 260, 57, 0, 2, 3, 12, 0, 8, 5025, 8580
GENESYS, 16, 1413, 11.499, 32, 16, 238, 65, 0, 2, 5, 14, 0, 8, 7475, 10304
GENESYS, 32, 2747, 22.355, 64, 32, 255, 88, 0, 2, 8, 19, 0, 10, 12491, 14098
GENESYS, 48, 4080, 33.203, 96, 48, 299, 137, 0, 3, 12, 25, 0, 12, 17476, 18098
GENESYS, 64, 5408, 44.010, 128, 64, 304, 206, 0, 2, 15, 30, 0, 10, 22016, 21516
