BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 6, 80, 0.651, 0, 0, 302, 70, 0, 45, 17, 51, 0, 36, 6239, 9128
Z10, 8, 83, 0.675, 0, 0, 310, 61, 0, 80, 24, 72, 0, 64, 8749, 12747
Z10, 16, 98, 0.798, 0, 0, 355, 65, 0, 160, 44, 126, 0, 128, 15809, 22293
Z10, 24, 122, 0.993, 0, 0, 448, 68, 0, 180, 56, 151, 0, 144, 20001, 26648
Z10, 32, 146, 1.188, 0, 0, 501, 72, 0, 320, 84, 234, 0, 256, 29785, 41255
Z20, 6, 80, 0.651, 0, 0, 307, 62, 0, 16, 5, 17, 0, 36, 6239, 9128
Z20, 8, 83, 0.675, 0, 0, 314, 61, 0, 29, 8, 23, 0, 64, 8749, 12747
Z20, 16, 98, 0.798, 0, 0, 368, 63, 0, 58, 14, 41, 0, 128, 15809, 22293
Z20, 24, 122, 0.993, 0, 0, 429, 69, 0, 65, 18, 50, 0, 144, 20001, 26648
Z20, 32, 146, 1.188, 0, 0, 497, 70, 0, 116, 27, 77, 0, 256, 29785, 41255
GENESYS, 6, 62, 0.505, 0, 0, 312, 50, 0, 10, 4, 8, 0, 36, 5766, 6231
GENESYS, 8, 66, 0.537, 0, 0, 310, 51, 0, 17, 5, 11, 0, 64, 8133, 8008
GENESYS, 16, 93, 0.757, 0, 0, 367, 53, 0, 35, 10, 18, 0, 128, 14719, 12890
GENESYS, 24, 117, 0.952, 0, 0, 418, 56, 0, 40, 13, 21, 0, 144, 18437, 15522
GENESYS, 32, 141, 1.147, 0, 0, 489, 60, 0, 71, 19, 32, 0, 256, 27749, 22598
GENESYS, 48, 189, 1.538, 0, 0, 641, 66, 0, 80, 24, 39, 0, 288, 35179, 27886
