BOARD,N,MAXCYC,MAXLAT,MEMR,MEMW,ARCHT,HLST,BRAM,DSP,FF,LUT,BRAMN,DSPN,FFN,LUTN
Z10, 2, 182, 1.481, 0, 0, 265, 2930, 0, 23, 14, 52, 0, 19, 5256, 9161
Z10, 4, 210, 1.709, 0, 0, 398, 71, 0, 31, 16, 61, 0, 25, 5975, 10786
Z10, 8, 247, 2.010, 0, 0, 344, 74, 3, 23, 18, 66, 4, 19, 6536, 11670
Z10, 16, 323, 2.629, 0, 0, 615, 76, 3, 23, 21, 84, 4, 19, 7494, 14879
Z10, 32, 478, 3.890, 0, 0, 1402, 86, 5, 27, 27, 124, 6, 22, 9582, 21837
Z10, 64, 749, 6.095, 0, 0, 6392, 109, 5, 42, 43, 214, 6, 34, 15282, 37672
Z10, 128, 1384, 11.263, 0, 0, 79899, 164, 5, 42, 65, 360, 6, 34, 22963, 63484
Z10, 192, 2024, 16.471, 0, 0, 429254, 232, 8, 42, 86, 509, 10, 34, 30615, 89646
Z10, 256, 2664, 21.680, 0, 0, 2982463, 384, 8, 42, 108, 658, 10, 34, 38265, 115820
Z20, 2, 182, 1.481, 0, 0, 381, 82, 0, 8, 4, 17, 0, 19, 5256, 9161
Z20, 4, 210, 1.709, 0, 0, 334, 83, 0, 11, 5, 20, 0, 25, 5975, 10786
Z20, 8, 247, 2.010, 0, 0, 452, 88, 1, 8, 6, 21, 4, 19, 6536, 11670
Z20, 16, 323, 2.629, 0, 0, 860, 94, 1, 8, 7, 27, 4, 19, 7494, 14879
Z20, 32, 478, 3.890, 0, 0, 2202, 107, 2, 10, 9, 41, 6, 22, 9582, 21837
Z20, 64, 749, 6.095, 0, 0, 10025, 140, 2, 15, 14, 70, 6, 34, 15282, 37672
Z20, 128, 1384, 11.263, 0, 0, 111845, 205, 2, 15, 21, 119, 6, 34, 22963, 63484
Z20, 192, 2024, 16.471, 0, 0, 544892, 282, 3, 15, 28, 168, 10, 34, 30615, 89646
Z20, 256, 2664, 21.680, 0, 0, 1173160, 318, 3, 15, 35, 217, 10, 34, 38265, 115820
GENESYS, 2, 140, 1.139, 0, 0, 336, 53, 0, 6, 3, 11, 0, 22, 4458, 8289
GENESYS, 4, 164, 1.335, 0, 0, 373, 54, 0, 7, 3, 13, 0, 28, 4883, 9553
GENESYS, 8, 205, 1.668, 0, 0, 451, 58, 0, 6, 3, 15, 4, 22, 4882, 10779
GENESYS, 16, 281, 2.287, 0, 0, 745, 63, 0, 6, 3, 19, 4, 22, 5144, 14012
GENESYS, 32, 437, 3.556, 0, 0, 1751, 73, 1, 6, 4, 29, 6, 25, 6128, 20981
GENESYS, 64, 717, 5.835, 0, 0, 8115, 98, 1, 11, 6, 52, 6, 40, 8801, 36854
GENESYS, 128, 1359, 11.060, 0, 0, 92408, 154, 1, 11, 7, 89, 6, 40, 11145, 63100
GENESYS, 192, 1999, 16.268, 0, 0, 454809, 222, 2, 11, 9, 126, 10, 40, 13485, 89579
GENESYS, 256, 2639, 21.476, 0, 0, 1176026, 308, 2, 11, 11, 164, 10, 40, 15823, 116111
